MASS_EXTRAP,MASS_ERROR
53700.59375,21857.99609375
732410.375,197972.875
112361.75,34429.15625
564819.1875,170699.96875
1455837.125,327763.0
2038581.25,466961.25
431003.3125,86478.6875
1925372.25,334278.875
81957.90625,34137.86328125
1813855.375,470374.0
1384485.0,267622.625
8489098.0,1070685.0
890491.9375,194095.5
2117160.5,520681.375
1987504.5,161975.625
628454.25,172413.34375
2005252.375,399189.75
1539053.375,322035.0
69080.59375,14770.46875
2545673.25,314785.5
158832.75,74656.0546875
878905.0,189697.6875
2151880.0,435431.875
3049099.5,666781.25
3119700.25,716215.0
466093.4375,153422.90625
8016997.5,803426.5
1773208.625,286301.5
294057.21875,91536.3125
375008.0625,80386.03125
293698.8125,62541.953125
1078470.75,456343.375
6688178.0,983578.0
395717.09375,169253.328125
1187596.125,299996.25
616362.75,163430.25
5283697.0,496072.0
525746.625,159685.625
452304.0,151744.9375
1004395.875,293609.125
1023591.6875,179378.1875
173237.171875,71709.7109375
464229.78125,171206.21875
2396804.75,430389.125
280456.84375,111462.765625
963630.3125,241061.9375
453215.75,154293.6875
150296.59375,37924.7578125
805989.875,206784.3125
2713333.25,440944.0
285952.28125,90017.25
143475.6875,41365.9921875
375171.8125,86905.75
283061.375,79920.859375
348040.125,101959.484375
848935.875,152916.5
618498.75,182032.46875
652263.0625,253755.40625
637833.0,197633.9375
154612.421875,35471.7265625
1859292.875,238805.375
1609082.375,386654.625
892035.625,333163.6875
8256445.5,692725.5
5861926.5,1484401.5
2255494.75,538252.75
2513315.5,416522.375
477995.1875,134290.75
374100.9375,110802.09375
237336.453125,89234.375
2208155.25,504035.5
991706.75,320897.0625
72050.015625,21511.8515625
287453.84375,91707.625
302047.0625,67307.375
138572.765625,29201.03125
170626.578125,54481.953125
350491.4375,132775.625
165409.4375,33095.4375
839211.625,175674.125
75978.5390625,16321.26953125
258601.171875,134083.40625
6649316.5,1083020.5
9756849.0,1315274.0
7092555.0,645593.5
5834709.5,737083.0
664969.8125,256212.3125
483990.90625,156005.6875
1914704.75,478664.625
1338195.0,404685.375
970171.9375,302086.5
7040954.0,681203.0
406364.59375,137429.59375
1214579.75,259727.0625
533466.5,161857.15625
1967509.625,400940.75
488603.4375,116928.3125
1975925.625,539191.625
1209821.0,341926.0625
701683.625,217612.3125
328658.25,92752.796875
803012.5,180336.1875
1166710.25,315563.4375
368349.65625,89033.84375
318987.21875,45696.5625
916827.625,244268.125
561041.5,103170.0625
1277466.625,464795.125
504534.8125,146100.59375
2365066.5,629006.5
1590423.875,574636.0625
543283.875,188327.75
425783.53125,154382.78125
1835076.0,384084.75
4832359.0,716976.25
1086948.0,219437.1875
840319.9375,259311.875
1269185.75,380223.3125
573649.0,183959.6875
186146.484375,60234.296875
2194588.75,447283.25
2296427.5,388863.0
477236.9375,144632.53125
505487.28125,137800.59375
409393.6875,130263.84375
616134.3125,133584.03125
2870484.75,765770.5
829844.6875,236438.5
745560.75,224233.96875
932746.5,238027.25
11289880.0,799730.0
1735649.375,551168.375
792828.25,268164.75
530497.8125,176916.71875
6040748.5,1075761.0
3728657.25,662206.0
232503.078125,74601.796875
551754.3125,154417.46875
996830.25,238981.3125
3658428.0,581446.25
1390762.25,473180.75
377384.5625,129301.484375
383920.4375,100326.46875
1055099.0,276947.5625
617751.6875,213269.9375
529176.5,151223.4375
348260.0,100911.03125
